,Sample_ID,Year,Country,Continent,Azithromycin mic,Ciprofloxacin mic,Ceftriaxone mic,Cefixime mic,Azithromycin log mic,Ciprofloxacin log mic,Ceftriaxone log mic,Cefixime log mic,Azithromycin sr,Ciprofloxacin sr,Ceftriaxone sr,Cefixime sr
3266,10625_6#11,2001.0,Australia,Oceania,0.25,4.0,0.004,0.008,-2.0,2.0,-7.965784285,-6.965784285,0.0,1.0,0.0,0.0
3267,10625_6#20,2003.0,Japan,Asia,0.25,64.0,0.064,0.25,-2.0,6.0,-3.965784285,-2.0,0.0,1.0,0.0,0.0
3268,10625_6#31,2007.0,Thailand,Asia,0.25,0.125,0.008,0.008,-2.0,-3.0,-6.965784285,-6.965784285,0.0,0.0,0.0,0.0
3269,10900_8#46,1992.0,Australia,Oceania,0.25,2.0,0.016,0.008,-2.0,1.0,-5.965784285,-6.965784285,0.0,1.0,0.0,0.0
3270,10900_8#47,1996.0,Australia,Oceania,0.5,64.0,0.25,0.125,-1.0,6.0,-2.0,-3.0,0.0,1.0,0.0,0.0
3271,11791_8#1,2007.0,HongKong,Asia,0.5,64.0,0.064,0.25,-1.0,6.0,-3.965784285,-2.0,0.0,1.0,0.0,0.0
3272,11792_4#25,2011.0,Sweden,Europe,4.0,0.004,0.002,0.008,2.0,-7.965784285,-8.965784285,-6.965784285,1.0,0.0,0.0,0.0
3273,11792_4#89,2009.0,Japan,Asia,0.5,64.0,2.0,4.0,-1.0,6.0,1.0,2.0,0.0,1.0,1.0,1.0
3274,11792_4#90,2010.0,France,Europe,1.0,64.0,1.0,2.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0
3275,17176_1#52,2004.0,USA,America,0.25,4.0,0.015,0.015,-2.0,2.0,-6.058893689,-6.058893689,0.0,1.0,0.0,0.0
3276,17176_1#54,2004.0,USA,America,0.25,8.0,0.008,0.008,-2.0,3.0,-6.965784285,-6.965784285,0.0,1.0,0.0,0.0
3277,17176_1#53,2004.0,USA,America,0.5,16.0,0.03,0.06,-1.0,4.0,-5.058893689,-4.058893689,0.0,1.0,0.0,0.0
3278,17176_1#85,2001.0,USA,America,0.25,0.004,0.015,0.03,-2.0,-7.965784285,-6.058893689,-5.058893689,0.0,0.0,0.0,0.0
3279,17176_1#38,2004.0,USA,America,0.25,8.0,0.03,0.03,-2.0,3.0,-5.058893689,-5.058893689,0.0,1.0,0.0,0.0
3280,8727_8#37,2010.0,USA,America,0.5,32.0,0.03,0.25,-1.0,5.0,-5.058893689,-2.0,0.0,1.0,0.0,0.0
